Sample,AgeID,N1of1,ID,A,B,C,E,F,G,H1,H2,H3,H4,H5,K1,K2,K3,L,M,N1,N2,O,P,Q,R1,R2,R3,R4,AR,LEN,WID,Morphotype Name
Morphotypes,0,1,Morphotypes1,1,1,2,1,1,3,2,1,3,2,5,0,0,0,2,2,1,3,1,2,2,2,1,1,4,99,0,0,"Acrodin Tip, 1/2 length Concave Root"
Morphotypes,0,2,Morphotypes2,1,1,2,1,1,3,2,1,3,2,4,0,0,0,2,1,1,1,1,3,2,2,2,1,1,99,0,0,"Acrodin Tip, 1/2 length Concave root, flared blades"
Morphotypes,0,3,Morphotypes3,1,1,2,1,1,3,2,1,3,2,1,0,0,0,2,2,1,1,1,2,2,2,1,1,2,99,0,0,"Acrodin Tip, 1/2 length Concave Root, no tips"
Morphotypes,0,4,Morphotypes4,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,2,1,1,3,3,7,2,1,3,99,0,0,"Acrodin Tip, 1/2 length convex root"
Morphotypes,0,5,Morphotypes5,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,1,1,1,3,2,4,3,3,4,99,0,0,"Acrodin Tip, 1/2 length funnel root"
Morphotypes,0,6,Morphotypes6,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,2,2,1,3,2,1,2,2,2,99,0,0,"Acrodin Tip, 1/2 length straight root"
Morphotypes,0,7,Morphotypes7,1,1,2,1,1,3,2,1,3,2,5,0,0,0,2,2,1,1,1,3,2,1,2,2,1,99,0,0,"Acrodin Tip, 1/2 length straight root, flare blades"
Morphotypes,0,8,Morphotypes8,1,1,2,1,1,3,2,1,3,2,1,0,0,0,2,2,2,2,1,2,1,1,2,1,2,99,0,0,"Acrodin Tip, 1/4 length concave root"
Morphotypes,0,9,Morphotypes9,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,1,1,1,3,1,3,3,2,3,99,0,0,"Acrodin Tip, 1/4 length dome root"
Morphotypes,0,10,Morphotypes10,1,1,2,1,1,3,2,1,1,1,1,0,0,0,2,2,1,1,1,3,3,2,1,2,4,99,0,0,"Acrodin Tip, 3/4 length concave root"
Morphotypes,0,11,Morphotypes11,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,2,1,1,3,3,3,2,3,2,99,0,0,"Acrodin Tip, 3/4 length convex root"
Morphotypes,0,12,Morphotypes12,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,2,4,1,3,3,1,2,2,1,99,0,0,"Acrodin Tip, 3/4 length straight root"
Morphotypes,0,13,Morphotypes13,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,1,1,1,3,3,1,2,2,1,99,0,0,"Acrodin Tip, Cone-like, Big blades"
Morphotypes,0,14,Morphotypes14,1,1,1,1,3,1,1,0,0,0,0,0,0,0,3,4,1,1,1,2,1,3,3,2,3,99,0,0,"Acrodin Tip, Cone, small dome root"
Morphotypes,0,15,Morphotypes15,1,1,2,3,1,3,2,1,1,1,1,0,0,0,3,2,1,1,1,4,2,1,2,2,1,99,0,0,"Acrodin Tip, convex tooth, straight 1/2 root"
Morphotypes,0,16,Morphotypes16,1,1,2,3,1,3,2,1,1,1,1,0,0,0,3,2,1,1,1,3,3,1,2,2,2,99,0,0,"Acrodin Tip, convex tooth, straight 3/4 root"
Morphotypes,0,17,Morphotypes17,1,1,2,2,3,2,1,0,0,0,0,0,0,0,3,2,1,1,1,3,2,3,3,2,3,99,0,0,"Acrodin Tip, Convex, Curved"
Morphotypes,0,18,Morphotypes18,1,1,2,2,4,3,3,3,3,2,5,1,4,2,2,2,2,1,1,4,2,2,1,1,1,99,0,0,"Acrodin Tip, Curve, 1/2 concave root"
Morphotypes,0,19,Morphotypes19,1,1,2,2,4,3,2,1,1,2,1,0,0,0,2,2,1,1,1,4,4,1,2,2,1,99,0,0,"Acrodin Tip, curve, full root"
Morphotypes,0,20,Morphotypes20,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,1,1,1,4,3,1,3,2,3,99,0,0,"Acrodin Tip, Dome Root"
Morphotypes,0,21,Morphotypes21,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,2,1,1,3,3,4,2,2,5,99,0,0,"Acrodin Tip, extended long root"
Morphotypes,0,22,Morphotypes22,1,1,2,1,1,3,2,1,3,2,1,0,0,0,2,2,1,1,1,3,3,1,2,1,3,99,0,0,"Acrodin Tip, Flared Blades"
Morphotypes,0,23,Morphotypes23,1,1,2,1,1,3,2,1,1,2,1,0,0,0,2,2,2,2,1,4,3,1,2,2,1,99,0,0,"Acrodin Tip, no obvious root"
Morphotypes,0,24,Morphotypes24,1,1,2,1,3,3,2,1,4,2,1,0,0,0,1,2,1,1,1,4,2,1,2,2,2,99,0,0,"Acrodin Tip, pointy convex, 1/2 root"
Morphotypes,0,25,Morphotypes25,1,1,2,1,5,3,2,1,4,2,1,0,0,0,2,2,1,1,1,4,3,1,2,1,2,99,0,0,"Acrodin Tip, right, convex"
Morphotypes,0,26,Morphotypes26,1,1,2,1,1,3,2,1,1,1,1,0,0,0,2,2,1,1,1,4,2,1,2,3,3,99,0,0,"Acrodin Tip, small blades"
Morphotypes,0,27,Morphotypes27,1,1,2,1,1,3,2,1,4,2,1,0,0,0,2,4,1,1,1,4,3,1,2,3,3,99,0,0,"Acrodin Tip, Thick Blades, Big root"
Morphotypes,0,28,Morphotypes28,1,1,2,1,3,3,2,1,4,2,1,0,0,0,2,4,1,1,1,4,2,1,2,2,1,99,0,0,"Acrodin Tip, Thick Blades, Small root"
Morphotypes,0,29,Morphotypes29,1,1,1,1,3,3,2,1,1,1,1,0,0,0,3,1,1,1,1,4,3,3,3,2,2,99,0,0,Bladed cone
Morphotypes,0,30,Morphotypes30,1,1,1,1,3,2,2,1,1,1,1,0,0,0,3,2,1,1,1,4,3,1,2,2,2,99,0,0,Bladed cone (acrodin tip)
Morphotypes,0,31,Morphotypes31,1,1,1,2,3,2,2,1,1,1,1,0,0,0,3,2,1,1,1,4,3,1,2,2,3,99,0,0,"Bladed cone (acrodin tip), curved"
Morphotypes,0,32,Morphotypes32,1,1,1,2,1,3,2,1,1,1,1,0,0,0,2,1,1,1,1,4,2,3,2,3,3,99,0,0,"Bladed cone, curved"
Morphotypes,0,33,Morphotypes33,1,1,1,1,1,3,3,3,3,2,4,0,0,0,2,1,1,1,1,4,3,2,1,2,5,99,0,0,Bladed cone single blade
Morphotypes,0,34,Morphotypes34,1,1,1,1,1,2,2,1,1,1,1,0,0,0,2,3,1,1,1,3,2,3,3,2,3,99,0,0,Bladed cone small root acrodin tip
Morphotypes,0,35,Morphotypes35,1,1,1,1,1,3,2,1,1,1,1,0,0,0,2,1,1,1,1,4,2,1,2,2,2,99,0,0,Bladed cone straight no flare
Morphotypes,0,36,Morphotypes36,1,1,2,1,1,3,2,1,2,2,3,0,0,0,2,1,1,1,1,4,3,4,2,2,4,99,0,0,Blades on top
Morphotypes,0,37,Morphotypes37,1,1,1,1,1,3,2,1,2,2,3,0,0,0,2,2,1,1,1,3,1,3,3,3,3,99,0,0,Blades on top (cone)
